disease_wiki_id,disease_name,description,drugs,symptoms,risk_factors
Q56014367,Juberg-Marsidi syndrome,,,,
Q1718432,KBG syndrome,"syndrome that is characterized by short stature, moderate to severe degrees of mental retardation, developmental abnormalities of the limbs, bones of the spine (vertebrae), extremities, and/or underdevelopment of the bones of the skeleton",,,
Q4420151,Kandinsky–Clérambault syndrome,"psychopathological syndrome (constellation of symptoms), occurring in schizophrenia",,,
Q17128230,Kapur–Toriello syndrome,"Kapur-Toriello syndrome is an extremely rare syndrome characterized by facial dysmorphism, severe intellectual deficiency, cardiac and intestinal anomalies, and growth retardation",,,
Q6368059,Karak syndrome,medical condition,,,
Q6374996,Katagelasticism,human psychological condition,,,
Q6378691,Kaufman oculocerebrofacial syndrome,. An autosomal recessive mode of inheritance seems most likely.,,,
Q6395632,Keutel syndrome,"Keutel syndrome is characterised by diffuse cartilage calcification, brachytelephalangism, peripheral pulmonary artery stenoses and facial dysmorphism",,,
Q6410625,Kindling,medical condition,,,
Q6420021,Klazomania,compulsive shouting,,,
Q613809,Kleine-Levin syndrome,recurrent hypersomnia that is characterized by recurring periods of excessive amounts of sleep and altered behavior,,,
Q367929,Klüver–Bucy syndrome,syndrome resulting from bilateral lesions of the medial temporal lobe,,,
Q55790322,Koone Rizzo Elias syndrome,human disease,,,
Q622901,Korsakoff's syndrome,mental illness caused by a lack of thiamine in the brain,,"['fixation amnesia', 'confabulation', 'cryptomnesia', 'pseudoreminiscence']",
Q55790341,Kozlowski Ouvrier syndrome,human disease,,,
Q55790347,Kozlowski Rafinski Klicharska syndrome,human disease,,,
Q3043340,Kretschmer’s sensitive paranoia,,,,
Q6441908,Kufor-Rakeb syndrome,"Kufor-Rakeb syndrome (KRS) is a rare genetic neurodegenerative disorder characterized by juvenile Parkinsonism, pyramidal degeneration (dystonia), supranuclear palsy, and cognitive impairment",,,
Q2555537,Lacunar amnesia,AMNESIA LACUNAR,,,
Q18757595,Lalophobia,,,,
Q55784997,Lamb-Shaffer syndrome,human disease,,,
Q55782031,Lambert syndrome,,,,
Q17148671,Language-based learning disability,,,,
Q3508664,Lasthenie de Ferjol syndrome,,,['anemia'],
Q438896,Late life depression,,,,
Q3961678,Laurence-Moon syndrome,"rare autosomal recessive genetic disorder associated with retinitis pigmentosa, spastic paraplegia, and mental disabilities",,,
Q6510192,Learning problems in childhood cancer,,,,
Q6523462,Lenz–Majewski syndrome,"Lenz-Majewski hyperostotic dwarfism is an extremely rare syndrome associating dwarfism, characteristic facial appearance, cutis laxa and progressive bone sclerosis",,,
Q6530306,Leschke syndrome,,,,
Q6534830,Levamisole Induced Necrosis Syndrome,,,,
Q1331905,Lewy body dementia,type of dementia,"['rivastigmine', 'pimavanserin', 'donepezil']","['dementia', 'hallucination', 'parkinsonian syndrome']",['smoking']
Q63943905,Limbic-predominant age-related TDP-43 encephalopathy,form of dementia,,,
Q6672148,Long-term impact of alcohol on the brain,effect of alcohol consumption,,,
Q6693036,Low pressure hydrocephalus,medical condition,,,
Q6694174,Lowry–MacLean syndrome,"Lowry-MacLean syndrome is a very rare syndrome characterized by microcephaly, craniosynostosis, glaucoma, growth failure and visceral malformations",,,
Q640836,Lujan–Fryns syndrome,rare genetic condition in humans,,,
Q3508653,Lytico-bodig disease,human disease,,,
Q55783809,MAFD4,human disease,,,
Q55783819,MAFD6,human disease,,,
Q55787983,MAN1B1-CDG,(9q34.3).,,,
Q6714500,MASA syndrome,"hereditary spastic paraplegia that is characterized by hydrocephalus, spasticity of the lower limbs, adducted thumbs, aphasia, seizures, agenesis of the corpus callosum and intellectual disability in the mild to moderate range",,,
Q24975607,MECP2 duplication syndrome,Human disease,,,
Q22030615,MEDNIK syndrome,"A syndrome characterized by mental retardation, enteropathy, deafness, peripheral neuropathy, ichthyosis, and keratoderma. It is cause by homozygous mutation in the AP1S1 gene on chromosome 7q22.",,,
Q9390272,MEHMO syndrome,human disease,,,
Q55782508,MEND syndrome,human disease,,,
Q55783082,MMEP syndrome,"; 6q21) has been shown to play a causative role in MMEP, although this was not confirmed in recent studies",,,
Q3026441,Machado-Joseph disease,autosomal dominant cerebellar ataxia that is characterized by slow degeneration of the hindbrain and has material basis in expansion of CAG triplet repeats (glutamine) in the ATXN3 gene,,,
Q10575278,Magnan's sign,medical condition,,,
Q6738337,Major depressive episode,a period characterized by the symptoms of major depressive disorder,,,
Q8776355,Maladaptive daydreaming,mental disorder,,,
Q4280488,Manichean delusion,the most acute kind of antagonistic delusion,,,
Q94796,Marchiafava-Bignami disease,medical condition,,,
Q6758640,Marden–Walker syndrome,medical condition,,,
Q2628677,Marinesco-Sjogren syndrome,"Marinesco-Sjogren syndrome (MSS) belongs to the group of autosomal recessive cerebellar ataxias. Cardinal features of MSS are cerebellar ataxia, congenital cataract, and delayed psychomotor development.",,,
Q2580627,Masked depression,,,,
Q79052868,Mathematical disorder,subconcept of Specific learning disability (scot/10848),,,
Q55782071,McDonough syndrome,", cryptorchidism, and a congenital heart defect. Two families have been reported. Autosomal recessive inheritance was suggested.",,,
Q966149,McLeod syndrome,rare disease,,,
Q18026348,Megalocornea-mental retardation syndrome,medical condition,,,
Q3508673,Melnick–Needles syndrome,congenital disorder that affects primarily bone development.,,,
Q6815723,Memory distrust syndrome,psychological condition,,,
Q6815724,Memory erasure,selective artificial removal of memories or associations from the mind,,,
Q65085116,Menke-Hennekam syndrome,medical condition,,,
Q639203,Menkes disease,Human disease,,,
Q111955925,Mental illness in ancient Rome,Mental illnesses and their treatments in Ancient Rome,,,
Q18469530,Metabolic disease with mental disability,,,,
Q956605,Meth mouth,Severe tooth decay caused by methamphetamine use.,,,
Q6838869,Mickleson syndrome,medical condition,,,
Q6839570,Micrographia,"Abnormally small, cramped handwriting as a clinical sign",,,
Q42365072,Microlissencephaly,microcephaly combined with lissencephaly,,,
Q55786993,Microtriplication 11q24.1,human disease,,,
Q30892203,Midas-syndrome,psychological disorder,,,
Q6841190,Middle-of-the-night insomnia,medical condition,,,
Q28065619,Miles-Carpenter syndrome,"syndromic X-linked intellectual disability characterized by severe intellectual deficit, microcephaly, exotropia, distal muscle wasting and low digital arches that has material basis in variation in chromosomal region Xq13-q22",,,
Q2200977,Miller–Dieker lissencephaly syndrome,"A syndrome characterized by classical lissencephaly and distinct facial features. Visible and submicroscopic deletions of 17p13.3, including the LIS1 gene, are found in almost 100% of patients.",,,
Q6873219,Mirhosseini–Holmes–Walton syndrome,human disease,,,
Q40889241,Miscarriage and mental illness,medical condition,,,
Q6883955,Mixed anxiety-depressive disorder,mental illness,,,
Q3043350,Monothematic delusion,medical condition,,,
Q901048,Morbid jealousy,Psychological disorder,,,
Q41398,Morgellons,self-diagnosed skin condition,,,
Q1948630,Morsicatio buccarum,"chronic irritation or injury of inner mouth-lining caused by repetitive chewing, biting",,,
Q9247868,Motor dyslalia,,,,
Q2757585,Mowat-Wilson syndrome,rare genetic disorder,,,
Q55786562,Mowat-Wilson syndrome due to a ZEB2 point mutation,human disease,,,
Q55786561,Mowat-Wilson syndrome due to monosomy 2q22,human disease,,,
Q6927726,Moynahan syndrome,human disease,,,
Q102295313,Mullegama-Klein-Martinez syndrome,human disease,,,
Q2595788,Multiple complex developmental disorder,MCDD,,,
Q6935111,Multisystem developmental disorder,,,,
Q1414765,Munchausen by proxy,behavioral disorder in which an adult fakes an illness in (mostly) a child or other proxy(s),,,
Q746426,Muscle dysmorphia,subtype of the obsessive mental disorder body dysmorphic disorder,,,
Q6942543,Musical ear syndrome,auditory hallucination associated with hearing loss,,,
Q56296531,Mutitas,inability of an animal to make sound,,,
Q17042115,Myhre syndrome,medical condition,,,
Q6949353,Myxedematous psychosis,rare mental disorder,,,
Q573868,Münchausen by Internet,psychiatric factitious disorder,,,
Q642598,Münchausen syndrome,psychiatric factitious disorder,,,
Q11883824,N syndrome,Human disease,,,
Q28024539,NGLY1-deficiency,Human disease,,"['Alacrima', 'Impaired oropharyngeal swallow response', 'Decreased CSF albumin', 'osteopenia', 'abnormal sudomotor regulation', 'constipation', 'Reduced brain glutamine level by MRS', 'elevated transaminases', 'seizure', 'disability affecting intellectual abilities', 'Reduced brain glutamate level by MRS', 'hypocholesterolemia', 'Multifocal epileptiform discharges', 'High myoinositol in brain by MRS', 'hypotonia', 'Delayed skeletal maturation', 'abnormality of retinal pigmentation', 'Reduced brain gamma-aminobutyric acid level by MRS', 'coxa valga', 'intrauterine growth restriction', 'lagophthalmos', 'neonatal jaundice', 'Reduced factor IX activity', 'dysphagia', 'splenomegaly', 'Elevated brain choline level by MRS', 'speech disorder', 'abnormal facial shape', 'scoliosis', 'abnormal liver storage', 'Mixed demyelinating and axonal polyneuropathy', 'movement disorders', 'Abnormal metabolic brain imaging by MRS', 'meibomian cyst', 'Abnormal auditory evoked potentials', 'joint hypermobility', 'optic atrophy', 'Reduced brain N-acetyl aspartate level by MRS', 'Abnormal brain imaging', 'brain atrophy', 'Impaired oral bolus formation', 'Decreased resting energy expenditure', 'Reduced factor XI activity', 'exotropia', 'oculomotor apraxia', 'Decreased CSF total protein', 'fatty liver disease', 'involuntary movement', 'facial hypotonia', 'global developmental delay', 'Reduced prothrombin activity', 'esotropia', 'Decreased CSF biopterin level', 'strabismus', 'refractive error', 'short foot', 'Corneal scarring', 'corneal ulcer', 'Elevetated blood lactate', 'petoze', 'electroencephalography abnormalities', 'microcephaly', 'peripheral neuropathy', 'functional motor deficit', 'corneal neovascularization', 'impaired daily living skills', 'tachycardia', 'small hand', 'Hypofibrinogenemia', 'hyporeflexia', 'Decreased CSF/serum albumin ratio', 'hepatomegaly', 'sucking reflex']",
Q17144153,Nance-Horan syndrome,disorder of lens,,,
Q3064737,Narratophilia,sexual fetish,,,
Q5558010,Nicolaides–Baraitser syndrome,medical condition,,,
Q12859193,Nightmare disorder,sleep disorder,,['nightmare'],
Q54888084,Nocturnal Paroxysmal Dystonia,"A parasomnia characterized by paroxysmal episodes of choreoathetotic, ballistic, dystonic movements, and semipurposeful activity. The episodes occur during non-rapid eye movement sleep and typically recur several times per night. (Neurology",,,
Q7046514,Nocturnal epilepsy,medical condition,,,
Q11583761,Nocturnal sleep-related eating disorder,medical condition,,,
Q130555,Norman–Roberts syndrome,lissencephaly that has_material_basis_in homozygous mutation in the gene encoding reelin (RELN) on chromosome 7q22.,,,
Q1415842,Norrie disease,genetic disorder that primarily affects the eye and almost always leads to blindness,,,
Q55627258,Occupational health concerns of cannabis use,,,,
Q7077142,Ocular neurosis,,,,
Q55782157,Oculo-palato-cerebral syndrome,"Oculopalatocerebral syndrome is characterised by the association of four anomalies: intellectual deficit, microcephaly, palate anomalies and ocular abnormalities",,,
Q55783391,Okamoto syndrome,Autosomal dominant genetic condition,,,
Q96397282,Old sergeant's syndrome,type of military burnout,,,
Q16302159,Oligophrenia,subnormal mental development,,,
Q55782162,Oliver syndrome,"Oliver syndrome is a very rare syndrome characterized by intellectual deficit, postaxial polydactyly, and epilepsy",,,
Q7087988,Oliver–McFarlane syndrome,"An autosomal recessive disease characterized by trichomegaly, severe chorioretinal atrophy and multiple pituitary hormone deficiencies that has material basis in homozygous or compound heterozygous mutation in PNPLA6 on 19p13.2.",,,
Q1757549,Onychotillomania,medical condition,,,
Q17146561,Opioid-induced hyperalgesia,Pain caused by opiod addiction,,,
Q56313649,Opto-mnestic aphasia,,,,
Q9341414,Organic dissociative disorder,,,,
Q9247870,Organic dyslalia,,,,
Q17104923,Other Specified Feeding or Eating Disorder,disorder,,,
Q51718774,Other pervasive developmental disorders,,,,
Q104845432,Other specified dissociative disorder,cluster of dissociative disorders,,,
Q2043695,PANDAS,hypothesis that there exists a subset of children with rapid onset of obsessive-compulsive disorder or tic disorders and these symptoms are caused by group A beta-hemolytic streptococcal infections,,,
Q55345884,PCNA-related progressive neurodegenerative photosensitivy syndrome,human disease,,,
Q24975544,PGM3 deficiency,genetic disorder,,,
Q18553426,"PHGDH deficiency, infantile/juvenile form",serine deficiency that has material basis in deficiency of phosphoglycerate dehydrogenase which results in a disruption of L-serine biosynthesis,,,
Q55346017,PLA2G6-associated neurodegeneration,human disease,,,
Q55784958,PMP22-RAI1 contiguous gene duplication syndrome,human disease,,,
Q55346048,PRKAR1B-related neurodegenerative dementia with intermediate filaments,human disease,,,
Q18553427,PSAT deficiency,serine deficiency that has material basis in deficiency of phosphoserine aminotransferase and is characterized by low concentrations of serine and flycine in plasma and cerebrospinal fluid,,,
